,first_name,last_name,email,email_verified,signup_date,referral_count,balance
aaron,Aaron,Davis,aaron6348@gmail.com,TRUE,8/31/18,6,18.14
acook,Anthony,Cook,cook@gmail.com,TRUE,5/12/18,2,55.45
adam.saunders,Adam,Saunders,adam@gmail.com,FALSE,5/29/18,3,72.12
adrian,Adrian,Fang,adrian.fang@teamtreehouse.com,TRUE,4/28/18,3,30.01
adrian.blair,Adrian,Blair,adrian9335@gmail.com,TRUE,6/16/18,7,25.85
alan9443,Alan,Pope,pope@hotmail.com,TRUE,4/17/18,0,56.09
alexander7808,Alexander,Moore,alexander.moore@gmail.com,FALSE,3/27/18,2,87.71
alvarado,Denise,Alvarado,alvarado@hotmail.com,TRUE,9/7/18,6,26.72
alvarez,John,Alvarez,john4346@hotmail.com,TRUE,9/18/18,6,49.62
amanda,Amanda,Lynch,alynch@gmail.com,TRUE,9/18/18,2,43.76
amiller,Anne,Miller,miller@hotmail.com,FALSE,6/2/18,5,86.28
andersen,Mark,Andersen,mark.andersen@yahoo.com,TRUE,8/21/18,3,75.69
andrade,Melissa,Andrade,mandrade@yahoo.com,TRUE,1/6/18,3,83.22
andrew.alvarez,Andrew,Alvarez,aalvarez@hotmail.com,FALSE,8/1/18,0,81.66
andrew.wells,Andrew,Wells,andrew9976@yahoo.com,TRUE,6/13/18,5,76.07
andrew6216,Andrew,Bryan,andrew@gmail.com,TRUE,4/1/18,1,71.42
andrew6347,Andrew,Horton,andrew.horton@hotmail.com,TRUE,2/1/18,2,85.73
angela7209,Angela,Collins,collins5797@yahoo.com,TRUE,5/5/18,7,29.52
anthony1788,Anthony,Valdez,anthony@gmail.com,TRUE,6/30/18,5,70.7
anthony3761,Anthony,,anthony9581@gmail.com,TRUE,8/16/18,6,59.81
anthony576,Anthony,Lane,anthony@yahoo.com,TRUE,3/22/18,7,42.6
Apr-82,April,Santana,april.santana@hotmail.com,TRUE,8/14/18,2,53.87
ariley,Alexis,Riley,ariley@gmail.com,TRUE,5/10/18,2,89.22
arosario,Amanda,Rosario,amanda@yahoo.com,TRUE,1/29/18,1,76.19
atapia,Amy,Tapia,amy@hotmail.com,TRUE,2/6/18,5,67.96
austin,Austin,Ashley,austin5493@gmail.com,TRUE,3/12/18,7,70.38
austin486,Austin,Ward,ward@hotmail.com,TRUE,1/4/18,7,0.48
awhitney,Amanda,Whitney,whitney6923@yahoo.com,TRUE,4/6/18,2,30.85
awilliams,Amanda,Williams,williams4190@yahoo.com,TRUE,9/15/18,7,24.8
barnes,Mikayla,Barnes,mikayla.barnes@hotmail.com,TRUE,6/15/18,1,1.71
bernard,Dean,Bernard,dean.bernard@gmail.com,TRUE,2/3/18,6,45.67
